address_id,canonical_address,city,pincode,is_drop_address,first_seen_at
ADDR000000,10433 chaudry street colony 26 ahmedabad gujarat 380596,Ahmedabad,380596,False,2026-01-08 23:00:00
ADDR000001,81960 chander nagar nagar 91 chennai tamil nadu 600123,Chennai,600123,False,2026-02-09 16:00:00
ADDR000002,389 issac nagar colony 19 hyderabad telangana 500099,Hyderabad,500099,False,2026-01-05 05:00:00
ADDR000003,86379 ahuja road colony 113 jaipur rajasthan 302141,Jaipur,302141,False,2026-01-18 04:00:00
ADDR000004,654 kale street sector 50 bengaluru karnataka 560779,Bengaluru,560779,False,2026-02-13 05:00:00
ADDR000005,hno 11 chatterjee marg nagar 22 delhi delhi 110468,Delhi,110468,False,2026-01-30 22:00:00
ADDR000006,hno 59 bassi road colony 39 pune maharashtra 411618,Pune,411618,False,2026-02-08 05:00:00
ADDR000007,78161 memon circle nagar 25 jaipur rajasthan 302961,Jaipur,302961,False,2026-02-07 14:00:00
ADDR000008,95931 kari nagar sector 12 pune maharashtra 411232,Pune,411232,False,2026-02-09 20:00:00
ADDR000009,hno 13 rai zila colony 19 mumbai maharashtra 400439,Mumbai,400439,False,2026-02-06 03:00:00
ADDR000010,hno 75 prabhakar street colony 113 ahmedabad gujarat 380252,Ahmedabad,380252,False,2026-01-23 15:00:00
ADDR000011,hno 34 garg zila colony 78 surat gujarat 395019,Surat,395019,False,2026-01-30 23:00:00
ADDR000012,3276 kanda road colony 35 jaipur rajasthan 302708,Jaipur,302708,False,2026-01-14 23:00:00
ADDR000013,50305 loyal marg sector 91 kolkata west bengal 700674,Kolkata,700674,False,2026-01-30 08:00:00
ADDR000014,hno 395 tata ganj nagar 36 lucknow uttar pradesh 226778,Lucknow,226778,False,2026-01-29 04:00:00
ADDR000015,72 dewan road colony 75 mumbai maharashtra 401011,Mumbai,401011,False,2026-02-11 05:00:00
ADDR000016,884 sangha layout 20 hyderabad telangana 500562,Hyderabad,500562,False,2026-02-08 16:00:00
ADDR000017,6532 tak circle nagar 19 kolkata west bengal 700777,Kolkata,700777,False,2026-02-03 07:00:00
ADDR000018,hno 012 sami street sector 82 lucknow uttar pradesh 226484,Lucknow,226484,False,2026-01-17 09:00:00
