address_id,canonical_address,city,pincode,is_drop_address,first_seen_at
ADDR000000,10433 chaudry street ville kolkata west bengal 700576,Kolkata,700576,False,2026-02-22 18:35:28
ADDR000001,6001 kaul ganj ville vapi gujarat 396002,Vapi,396002,False,2026-01-06 01:06:29
ADDR000002,3863 mall chowk ville vapi gujarat 396356,Vapi,396356,False,2026-02-19 11:43:37
ADDR000003,654 kale street ville bengaluru karnataka 560699,Bengaluru,560699,False,2026-01-27 23:27:47
ADDR000004,hno 161 padmanabhan path ville lucknow uttar pradesh 226472,Lucknow,226472,False,2026-01-08 20:40:26
ADDR000005,hno 781 brar marg ville chennai tamil nadu 600933,Chennai,600933,False,2026-02-12 03:51:12
ADDR000006,95931 kari nagar ville jaipur rajasthan 302900,Jaipur,302900,False,2026-01-08 13:52:03
ADDR000007,hno 316 setty road ville kolkata west bengal 700756,Kolkata,700756,False,2026-02-19 17:36:10
ADDR000008,553 bora road ville bengaluru karnataka 560649,Bengaluru,560649,False,2026-01-15 15:32:38
ADDR000009,3276 kanda road ville vapi gujarat 396232,Vapi,396232,False,2026-02-03 20:50:49
ADDR000010,hno 305 loyal marg ville bengaluru karnataka 560180,Bengaluru,560180,False,2026-01-09 11:35:36
ADDR000011,953 randhawa chowk ville bengaluru karnataka 560455,Bengaluru,560455,False,2026-01-22 03:48:08
ADDR000012,423 yohannan circle ville jaipur rajasthan 302167,Jaipur,302167,False,2026-02-17 13:18:13
ADDR000013,96965 devi ganj ville bengaluru karnataka 560233,Bengaluru,560233,False,2026-02-27 00:57:14
ADDR000014,hno 012 sami street ville hyderabad telangana 500317,Hyderabad,500317,False,2026-02-17 18:34:00
ADDR000015,69 wadhwa chowk ville surat gujarat 395871,Surat,395871,False,2026-02-23 20:20:48
ADDR000016,0184 choudhury path ville chennai tamil nadu 600618,Chennai,600618,False,2026-02-22 20:19:12
ADDR000017,27 lall nagar ville hyderabad telangana 500411,Hyderabad,500411,False,2026-01-27 15:54:44
ADDR000018,1489 dua ganj ville hyderabad telangana 500098,Hyderabad,500098,False,2026-02-28 23:51:17
ADDR000019,880 naik ville delhi delhi 110177,Delhi,110177,False,2026-01-26 06:09:03
ADDR000020,hno 154 bhardwaj ganj ville jaipur rajasthan 302902,Jaipur,302902,False,2026-01-16 06:19:59
ADDR000021,1171 dass circle ville surat gujarat 395163,Surat,395163,False,2026-01-09 16:15:15
ADDR000022,78248 sampath ville pune maharashtra 411618,Pune,411618,False,2026-02-28 23:00:29
ADDR000023,3465 varughese chowk ville vapi gujarat 396657,Vapi,396657,False,2026-02-08 13:26:37
ADDR000024,hno 331 bail path ville delhi delhi 110286,Delhi,110286,False,2026-01-29 17:56:43
ADDR000025,3010 bir ganj ville surat gujarat 395488,Surat,395488,False,2026-02-28 02:17:42
ADDR000026,hno 18 mallick ganj ville mumbai maharashtra 400978,Mumbai,400978,False,2026-01-10 09:47:01
ADDR000027,829 solanki ville chennai tamil nadu 600256,Chennai,600256,False,2026-01-07 11:53:10
ADDR000028,63 chatterjee zila ville vapi gujarat 396445,Vapi,396445,False,2026-02-16 15:04:53
ADDR000029,hno 66 bhagat chowk ville vapi gujarat 396388,Vapi,396388,False,2026-01-28 16:44:39
ADDR000030,hno 651 handa ganj ville pune maharashtra 411307,Pune,411307,False,2026-02-20 09:44:42
ADDR000031,7262 shere road ville surat gujarat 395390,Surat,395390,False,2026-02-24 08:08:02
